TAZID,CO_FIPS,CO_NAME,TOTHH
724,11,Davis,1433.0
725,11,Davis,212.0
726,11,Davis,191.0
727,11,Davis,42.0
728,11,Davis,256.0
729,11,Davis,351.0
730,11,Davis,918.0
731,11,Davis,219.0
732,11,Davis,286.0
733,11,Davis,141.0
734,11,Davis,274.0
735,11,Davis,431.0
736,11,Davis,267.0
737,11,Davis,709.0
738,11,Davis,165.0
739,11,Davis,1526.0
740,11,Davis,2.0
741,11,Davis,175.0
742,11,Davis,353.0
743,11,Davis,668.0
744,11,Davis,932.0
745,11,Davis,160.0
746,11,Davis,138.0
747,11,Davis,810.0
748,11,Davis,432.0
749,11,Davis,213.0
750,11,Davis,469.0
751,11,Davis,15.0
752,11,Davis,58.0
753,11,Davis,1.0
754,11,Davis,460.0
755,11,Davis,511.0
756,11,Davis,454.0
757,11,Davis,697.0
758,11,Davis,703.0
759,11,Davis,276.0
760,11,Davis,605.0
761,11,Davis,321.0
762,11,Davis,399.0
763,11,Davis,401.0
764,11,Davis,1201.0
765,11,Davis,338.0
766,11,Davis,189.0
767,11,Davis,246.0
768,11,Davis,539.0
769,11,Davis,602.0
770,11,Davis,658.0
771,11,Davis,542.0
772,11,Davis,291.0
773,11,Davis,455.0
774,11,Davis,255.0
775,11,Davis,2002.0
776,11,Davis,891.0
777,11,Davis,593.0
778,11,Davis,829.0
779,11,Davis,270.0
780,11,Davis,335.0
781,11,Davis,10.0
782,11,Davis,293.0
783,11,Davis,7.0
784,11,Davis,337.0
785,11,Davis,680.0
786,11,Davis,325.0
787,11,Davis,336.0
788,11,Davis,229.0
789,11,Davis,498.0
790,11,Davis,350.0
791,11,Davis,0.0
792,11,Davis,40.0
793,11,Davis,616.0
794,11,Davis,0.0
795,11,Davis,376.0
796,11,Davis,307.0
797,11,Davis,442.0
798,11,Davis,409.0
799,11,Davis,506.0
800,11,Davis,0.0
801,11,Davis,0.0
802,11,Davis,257.0
803,11,Davis,600.0
804,11,Davis,263.0
805,11,Davis,738.0
806,11,Davis,410.0
807,11,Davis,65.0
808,11,Davis,613.0
809,11,Davis,296.0
810,11,Davis,316.0
811,11,Davis,445.0
812,11,Davis,297.0
813,11,Davis,28.0
814,11,Davis,231.0
