Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
HBW,Pk,A,24,26.79,26.52,0.05,26.52,0.27,0.21,0.0,Shorten00
HBO,Pk,P,24,333.19,297.45,3.03,297.65,35.54,32.52,0.2,Shorten00
HBO,Pk,A,24,175.35,151.3,1.59,151.37,23.97,22.38,0.07,Shorten00
NHB,Pk,P,24,33.96,32.07,0.19,32.07,1.89,1.7,0.01,Shorten00
NHB,Pk,A,24,32.07,30.05,0.19,30.06,2.01,1.82,0.01,Shorten00
HBC,Pk,P,24,4.0,3.93,0.0,4.0,0.0,0.0,0.07,Shorten00
HBC,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,24,35.96,14.74,0.03,14.74,21.22,0.21,0.0,Shorten00
HBSch,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,25,1229.53,1056.14,12.21,1061.37,168.15,105.95,5.24,Shorten00
All,Pk,A,25,897.29,680.79,6.52,681.55,215.74,84.25,0.77,Shorten00
HBW,Pk,P,25,264.71,247.45,4.59,249.36,15.35,10.76,1.91,Shorten00
HBW,Pk,A,25,159.75,149.47,1.51,149.81,9.95,8.43,0.33,Shorten00
HBO,Pk,P,25,751.47,657.2,6.86,658.3,93.17,86.31,1.1,Shorten00
HBO,Pk,A,25,471.51,400.95,4.19,401.32,70.19,66.0,0.37,Shorten00
NHB,Pk,P,25,128.23,119.08,0.7,119.16,9.07,8.37,0.08,Shorten00
NHB,Pk,A,25,121.53,112.23,0.68,112.29,9.24,8.55,0.07,Shorten00
HBC,Pk,P,25,6.0,3.85,0.0,6.0,0.0,0.0,2.15,Shorten00
HBC,Pk,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
