Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
7.0,Green,pk,28.64,93.54,18.37,15.0,4.0,687.36,4632.34,4632.33,404.66,4227.68,404.64,4227.69,Closer04
7.0,Red,pk,47.22,120.72,23.47,15.0,4.0,1133.28,12877.65,12877.53,3312.92,9564.73,3312.91,9564.62,Closer04
7.0,Sline,pk,4.02,20.58,11.72,15.0,4.0,96.48,302.85,302.84,7.53,295.32,7.54,295.3,Closer04
7.0,Blue,ok,38.08,103.36,22.11,15.0,4.0,1523.2,6178.39,6178.39,940.03,5238.36,940.04,5238.35,Closer04
7.0,Green,ok,28.64,93.54,18.37,15.0,4.0,1145.6,6807.34,6807.35,491.38,6315.96,491.37,6315.98,Closer04
7.0,Red,ok,47.22,120.72,23.47,15.0,4.0,1888.8,9191.58,9191.58,1187.23,8004.35,1187.24,8004.34,Closer04
7.0,Sline,ok,4.02,20.58,11.72,15.0,4.0,160.8,448.42,448.44,6.79,441.63,6.79,441.65,Closer04
8.0,RCRT_OGPN,pk,162.16,245.34,39.66,30.0,2.0,1945.92,9472.51,9472.46,5750.41,3722.1,5750.39,3722.07,Closer04
8.0,RCRT_OGPN,ok,162.16,245.34,39.66,60.0,1.0,1621.6,4924.65,4924.64,2331.01,2593.64,2330.98,2593.66,Closer04
9.0,630X,pk,9.86,40.51,14.6,10.0,6.0,354.96,1335.97,1335.94,520.41,815.56,520.4,815.54,Closer04
9.0,M830X_ARPT,pk,11.28,27.28,24.81,30.0,2.0,135.36,15.37,15.38,2.46,12.91,2.46,12.92,Closer04
9.0,UVX,pk,22.92,79.21,17.36,6.0,10.0,1375.2,7211.01,7211.05,1115.94,6095.07,1115.94,6095.11,Closer04
9.0,630X,ok,9.86,43.11,13.72,10.0,6.0,591.6,667.53,667.5,30.31,637.22,30.31,637.19,Closer04
9.0,M830X_ARPT,ok,11.28,29.37,23.04,30.0,2.0,225.6,31.22,31.22,1.69,29.53,1.69,29.53,Closer04
9.0,UVX,ok,22.92,83.73,16.42,10.0,6.0,1375.2,3395.16,3395.16,96.84,3298.32,96.85,3298.31,Closer04
