Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,S509,pk,     10.34,     36.91,     16.81,     30.00,      2.00,    124.08,    106.47,    106.52,     13.89,     92.58,     13.89,     92.63
      4.00,SF11,pk,      7.80,     30.12,     15.54,     60.00,      1.00,     46.80,     49.02,     49.03,         0,     49.02,         0,     49.03
      4.00,SF202,pk,     10.44,     37.38,     16.76,     30.00,      2.00,    125.28,     42.21,     42.19,      0.87,     41.34,      0.86,     41.33
      4.00,SF232,pk,     15.34,     50.74,     18.14,     30.00,      2.00,    184.08,     51.66,     51.57,      0.85,     50.81,      0.80,     50.77
      4.00,SF453,pk,     39.47,     75.68,     31.29,     30.00,      2.00,    473.64,     22.27,     22.27,      5.13,     17.14,      5.14,     17.13
      4.00,SF514,pk,     12.18,     44.22,     16.53,     30.00,      2.00,    146.16,     96.75,     96.79,     18.21,     78.54,     18.24,     78.55
      4.00,SF525,pk,      8.90,     31.30,     17.06,     30.00,      2.00,    106.80,     43.24,     43.24,     10.05,     33.19,     10.07,     33.17
      4.00,SF570,pk,     14.72,     43.52,     20.29,     30.00,      2.00,    176.64,     79.14,     79.11,      0.32,     78.82,      0.31,     78.80
      4.00,SF578,pk,     13.44,     40.42,     19.95,     30.00,      2.00,    161.28,     35.85,     35.81,      0.13,     35.72,      0.12,     35.69
      4.00,SF590,pk,     11.44,     39.39,     17.43,     30.00,      2.00,    137.28,     69.21,     69.23,      4.87,     64.34,      4.88,     64.35
      4.00,SF94,pk,      7.22,     21.94,     19.74,     30.00,      2.00,     86.64,     60.19,     60.20,      4.59,     55.60,      4.60,     55.60
      4.00,M805_Santaquin,pk,     61.64,    110.05,     33.61,     40.00,      1.50,    554.76,    463.17,    463.13,    237.33,    225.84,    237.32,    225.81
      4.00,M806_EglMtn,pk,     27.94,     67.73,     24.75,     45.00,      1.33,    223.52,    315.64,    315.62,    105.90,    209.74,    105.89,    209.73
      4.00,M807_NoCnty,pk,     22.21,     65.02,     20.50,     40.00,      1.50,    199.89,    583.64,    583.66,    213.67,    369.97,    213.69,    369.97
      4.00,M822_Psn,pk,     54.34,    148.09,     22.02,     60.00,      1.00,    326.04,    459.96,    459.87,    113.90,    346.06,    113.83,    346.04
      4.00,MF809,pk,     21.39,     64.92,     19.77,     30.00,      2.00,    256.68,     63.91,     63.93,      8.18,     55.73,      8.19,     55.74
      4.00,O606,pk,      4.96,     13.82,     21.53,    360.00,      0.17,      4.96,      0.01,      0.01,         0,      0.01,         0,      0.01
      4.00,S513,pk,     32.36,    110.76,     17.53,     30.00,      2.00,    388.32,    228.51,    228.50,     36.07,    192.44,     36.08,    192.42
      4.00,S551,pk,     15.23,     44.32,     20.62,     30.00,      2.00,    182.76,     28.08,     28.08,      6.29,     21.79,      6.29,     21.79
      4.00,M821_5YR2023,ok,     37.33,     95.77,     23.39,     30.00,      2.00,    746.60,    183.97,    183.92,     20.60,    163.37,     20.59,    163.33
      4.00,M823_5RY2023,ok,     19.12,     60.44,     18.98,     30.00,      2.00,    382.40,    192.28,    192.22,     11.42,    180.86,     11.41,    180.81
      4.00,M831_WPr,ok,     23.68,     84.57,     16.80,     30.00,      2.00,    473.60,    311.87,    311.77,     10.88,    300.99,     10.85,    300.92
      4.00,M833_CntPr,ok,      9.75,     30.24,     19.35,     60.00,      1.00,     97.50,     41.04,     41.02,      1.41,     39.63,      1.42,     39.60
      4.00,M834_EstPr,ok,     25.64,     84.76,     18.15,     30.00,      2.00,    512.80,    228.14,    228.10,      8.95,    219.19,      8.96,    219.14
      4.00,M841_UVU,ok,      5.32,     20.63,     15.47,     30.00,      2.00,    106.40,     31.39,     31.33,      1.02,     30.37,      1.01,     30.32
      4.00,M850_StateStree,ok,     45.58,    161.87,     16.90,     15.00,      4.00,   1823.20,   1253.66,   1253.66,     93.53,   1160.13,     93.51,   1160.15
      4.00,M862_Orem,ok,     28.28,    100.60,     16.87,     30.00,      2.00,    565.60,    174.22,    174.29,      9.01,    165.21,      9.05,    165.24
      4.00,M864_Thanksgivi,ok,      7.25,     26.25,     16.57,     30.00,      2.00,    145.00,     54.74,     54.74,      4.87,     49.87,      4.88,     49.86
      4.00,M871_SLtoUtahCn,ok,     26.46,     80.12,     19.82,     60.00,      1.00,    264.60,     28.78,     28.78,      2.30,     26.48,      2.30,     26.48
      4.00,O600,ok,     46.04,    159.75,     17.29,     15.00,      4.00,   1841.60,    699.91,    699.99,     45.91,    654.00,     45.92,    654.07
      4.00,O601,ok,      3.70,     17.95,     12.37,     20.00,      3.00,    111.00,     13.06,     13.04,      0.29,     12.77,      0.28,     12.76
      4.00,O604,ok,     14.00,     47.43,     17.71,     30.00,      2.00,    280.00,     54.20,     54.16,      8.93,     45.27,      8.92,     45.24
      4.00,O607,ok,     20.92,     67.09,     18.71,     30.00,      2.00,    418.40,    176.32,    176.41,     15.54,    160.78,     15.59,    160.82
      4.00,O609,ok,     42.50,    135.11,     18.87,     30.00,      2.00,    850.00,    156.94,    156.91,     19.69,    137.25,     19.65,    137.26
      4.00,O612,ok,     26.20,     84.23,     18.66,     15.00,      4.00,   1048.00,    590.11,    590.12,     19.65,    570.46,     19.68,    570.44
      4.00,O614,ok,     17.94,     56.13,     19.18,     30.00,      2.00,    358.80,     76.40,     76.43,      0.96,     75.44,      0.96,     75.47
