Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O600,ok,     46.04,    159.75,     17.29,     15.00,      4.00,   1841.60,    667.46,    667.43,     40.29,    627.17,     40.32,    627.11
      4.00,O601,ok,      3.70,     17.95,     12.37,     20.00,      3.00,    111.00,     12.86,     12.83,      0.29,     12.57,      0.28,     12.55
      4.00,O604,ok,     14.00,     47.43,     17.71,     30.00,      2.00,    280.00,     51.42,     51.43,      7.77,     43.65,      7.75,     43.68
      4.00,O607,ok,     20.92,     67.09,     18.71,     30.00,      2.00,    418.40,    165.94,    165.96,     13.21,    152.73,     13.23,    152.73
      4.00,O609,ok,     42.50,    135.11,     18.87,     30.00,      2.00,    850.00,    151.64,    151.67,     18.72,    132.92,     18.74,    132.93
      4.00,O612,ok,     26.20,     84.23,     18.66,     15.00,      4.00,   1048.00,    596.78,    596.80,     20.25,    576.53,     20.26,    576.54
      4.00,O614,ok,     17.94,     56.13,     19.18,     30.00,      2.00,    358.80,     77.32,     77.31,      0.97,     76.35,      0.96,     76.35
      4.00,O615,ok,     15.08,     45.88,     19.72,     30.00,      2.00,    301.60,     80.79,     80.82,      5.53,     75.26,      5.54,     75.28
      4.00,O626,ok,     28.38,     82.98,     20.52,     30.00,      2.00,    567.60,    110.11,    110.14,      7.91,    102.20,      7.90,    102.24
      4.00,O627,ok,     18.58,     60.02,     18.57,     30.00,      2.00,    371.60,     81.10,     81.08,      4.98,     76.12,      4.99,     76.09
      4.00,O628,ok,     12.92,     47.58,     16.29,     30.00,      2.00,    258.40,     82.35,     82.32,      9.31,     73.04,      9.29,     73.03
      4.00,O630,ok,     48.72,    108.36,     26.98,     60.00,      1.00,    487.20,    180.75,    180.69,      9.84,    170.91,      9.82,    170.87
